Type, Node,Node Interface,Leaf IP Address,Peer Type,Peer Node,Peer Interface,Peer IP Address
l3leaf,DC1_LEAF-1A,Ethernet1,172.31.255.1/31,spine,DC1_SPINE-1,Ethernet1,172.31.255.0/31
l3leaf,DC1_LEAF-1A,Ethernet2,172.31.255.3/31,spine,DC1_SPINE-2,Ethernet1,172.31.255.2/31
l3leaf,DC1_LEAF-1A,Ethernet3,172.31.255.5/31,spine,DC1_SPINE-3,Ethernet1,172.31.255.4/31
l3leaf,DC1_LEAF-1A,Ethernet4,172.31.255.7/31,spine,DC1_SPINE-4,Ethernet1,172.31.255.6/31
l3leaf,DC1_LEAF-1B,Ethernet1,172.31.255.9/31,spine,DC1_SPINE-1,Ethernet2,172.31.255.8/31
l3leaf,DC1_LEAF-1B,Ethernet2,172.31.255.11/31,spine,DC1_SPINE-2,Ethernet2,172.31.255.10/31
l3leaf,DC1_LEAF-1B,Ethernet3,172.31.255.13/31,spine,DC1_SPINE-3,Ethernet2,172.31.255.12/31
l3leaf,DC1_LEAF-1B,Ethernet4,172.31.255.15/31,spine,DC1_SPINE-4,Ethernet2,172.31.255.14/31
l3leaf,DC1_LEAF-2A,Ethernet1,172.31.255.17/31,spine,DC1_SPINE-1,Ethernet3,172.31.255.16/31
l3leaf,DC1_LEAF-2A,Ethernet2,172.31.255.19/31,spine,DC1_SPINE-2,Ethernet3,172.31.255.18/31
l3leaf,DC1_LEAF-2A,Ethernet3,172.31.255.21/31,spine,DC1_SPINE-3,Ethernet3,172.31.255.20/31
l3leaf,DC1_LEAF-2A,Ethernet4,172.31.255.23/31,spine,DC1_SPINE-4,Ethernet3,172.31.255.22/31
l3leaf,DC1_LEAF-2B,Ethernet1,172.31.255.25/31,spine,DC1_SPINE-1,Ethernet4,172.31.255.24/31
l3leaf,DC1_LEAF-2B,Ethernet2,172.31.255.27/31,spine,DC1_SPINE-2,Ethernet4,172.31.255.26/31
l3leaf,DC1_LEAF-2B,Ethernet3,172.31.255.29/31,spine,DC1_SPINE-3,Ethernet4,172.31.255.28/31
l3leaf,DC1_LEAF-2B,Ethernet4,172.31.255.31/31,spine,DC1_SPINE-4,Ethernet4,172.31.255.30/31
l3leaf,DC1_LEAF-3A,Ethernet1,172.31.255.33/31,spine,DC1_SPINE-1,Ethernet5,172.31.255.32/31
l3leaf,DC1_LEAF-3A,Ethernet2,172.31.255.35/31,spine,DC1_SPINE-2,Ethernet5,172.31.255.34/31
l3leaf,DC1_LEAF-3A,Ethernet3,172.31.255.37/31,spine,DC1_SPINE-3,Ethernet5,172.31.255.36/31
l3leaf,DC1_LEAF-3A,Ethernet4,172.31.255.39/31,spine,DC1_SPINE-4,Ethernet5,172.31.255.38/31
l3leaf,DC1_LEAF-3B,Ethernet1,172.31.255.41/31,spine,DC1_SPINE-1,Ethernet6,172.31.255.40/31
l3leaf,DC1_LEAF-3B,Ethernet2,172.31.255.43/31,spine,DC1_SPINE-2,Ethernet6,172.31.255.42/31
l3leaf,DC1_LEAF-3B,Ethernet3,172.31.255.45/31,spine,DC1_SPINE-3,Ethernet6,172.31.255.44/31
l3leaf,DC1_LEAF-3B,Ethernet4,172.31.255.47/31,spine,DC1_SPINE-4,Ethernet6,172.31.255.46/31
