Node Type,Node,Node Interface,Peer Type,Peer,Peer Interface
l3leaf,DC1_LEAF-1A,Ethernet1,spine,DC1_SPINE-1,Ethernet1
l3leaf,DC1_LEAF-1A,Ethernet2,spine,DC1_SPINE-2,Ethernet1
l3leaf,DC1_LEAF-1A,Ethernet3,spine,DC1_SPINE-3,Ethernet1
l3leaf,DC1_LEAF-1A,Ethernet4,spine,DC1_SPINE-4,Ethernet1
l3leaf,DC1_LEAF-1A,Ethernet5,mlag_peer,DC1_LEAF-1B,Ethernet5
l3leaf,DC1_LEAF-1B,Ethernet1,spine,DC1_SPINE-1,Ethernet2
l3leaf,DC1_LEAF-1B,Ethernet2,spine,DC1_SPINE-2,Ethernet2
l3leaf,DC1_LEAF-1B,Ethernet3,spine,DC1_SPINE-3,Ethernet2
l3leaf,DC1_LEAF-1B,Ethernet4,spine,DC1_SPINE-4,Ethernet2
l3leaf,DC1_LEAF-1B,Ethernet5,mlag_peer,DC1_LEAF-1A,Ethernet5
l3leaf,DC1_LEAF-2A,Ethernet1,spine,DC1_SPINE-1,Ethernet3
l3leaf,DC1_LEAF-2A,Ethernet2,spine,DC1_SPINE-2,Ethernet3
l3leaf,DC1_LEAF-2A,Ethernet3,spine,DC1_SPINE-3,Ethernet3
l3leaf,DC1_LEAF-2A,Ethernet4,spine,DC1_SPINE-4,Ethernet3
l3leaf,DC1_LEAF-2A,Ethernet5,mlag_peer,DC1_LEAF-2B,Ethernet5
l3leaf,DC1_LEAF-2B,Ethernet1,spine,DC1_SPINE-1,Ethernet4
l3leaf,DC1_LEAF-2B,Ethernet2,spine,DC1_SPINE-2,Ethernet4
l3leaf,DC1_LEAF-2B,Ethernet3,spine,DC1_SPINE-3,Ethernet4
l3leaf,DC1_LEAF-2B,Ethernet4,spine,DC1_SPINE-4,Ethernet4
l3leaf,DC1_LEAF-2B,Ethernet5,mlag_peer,DC1_LEAF-2A,Ethernet5
l3leaf,DC1_LEAF-3A,Ethernet1,spine,DC1_SPINE-1,Ethernet5
l3leaf,DC1_LEAF-3A,Ethernet2,spine,DC1_SPINE-2,Ethernet5
l3leaf,DC1_LEAF-3A,Ethernet3,spine,DC1_SPINE-3,Ethernet5
l3leaf,DC1_LEAF-3A,Ethernet4,spine,DC1_SPINE-4,Ethernet5
l3leaf,DC1_LEAF-3A,Ethernet5,mlag_peer,DC1_LEAF-3B,Ethernet5
l3leaf,DC1_LEAF-3B,Ethernet1,spine,DC1_SPINE-1,Ethernet6
l3leaf,DC1_LEAF-3B,Ethernet2,spine,DC1_SPINE-2,Ethernet6
l3leaf,DC1_LEAF-3B,Ethernet3,spine,DC1_SPINE-3,Ethernet6
l3leaf,DC1_LEAF-3B,Ethernet4,spine,DC1_SPINE-4,Ethernet6
l3leaf,DC1_LEAF-3B,Ethernet5,mlag_peer,DC1_LEAF-3A,Ethernet5
spine,DC1_SPINE-1,Ethernet1,l3leaf,DC1_LEAF-1A,Ethernet1
spine,DC1_SPINE-1,Ethernet2,l3leaf,DC1_LEAF-1B,Ethernet1
spine,DC1_SPINE-1,Ethernet3,l3leaf,DC1_LEAF-2A,Ethernet1
spine,DC1_SPINE-1,Ethernet4,l3leaf,DC1_LEAF-2B,Ethernet1
spine,DC1_SPINE-1,Ethernet5,l3leaf,DC1_LEAF-3A,Ethernet1
spine,DC1_SPINE-1,Ethernet6,l3leaf,DC1_LEAF-3B,Ethernet1
spine,DC1_SPINE-2,Ethernet1,l3leaf,DC1_LEAF-1A,Ethernet2
spine,DC1_SPINE-2,Ethernet2,l3leaf,DC1_LEAF-1B,Ethernet2
spine,DC1_SPINE-2,Ethernet3,l3leaf,DC1_LEAF-2A,Ethernet2
spine,DC1_SPINE-2,Ethernet4,l3leaf,DC1_LEAF-2B,Ethernet2
spine,DC1_SPINE-2,Ethernet5,l3leaf,DC1_LEAF-3A,Ethernet2
spine,DC1_SPINE-2,Ethernet6,l3leaf,DC1_LEAF-3B,Ethernet2
spine,DC1_SPINE-3,Ethernet1,l3leaf,DC1_LEAF-1A,Ethernet3
spine,DC1_SPINE-3,Ethernet2,l3leaf,DC1_LEAF-1B,Ethernet3
spine,DC1_SPINE-3,Ethernet3,l3leaf,DC1_LEAF-2A,Ethernet3
spine,DC1_SPINE-3,Ethernet4,l3leaf,DC1_LEAF-2B,Ethernet3
spine,DC1_SPINE-3,Ethernet5,l3leaf,DC1_LEAF-3A,Ethernet3
spine,DC1_SPINE-3,Ethernet6,l3leaf,DC1_LEAF-3B,Ethernet3
spine,DC1_SPINE-4,Ethernet1,l3leaf,DC1_LEAF-1A,Ethernet4
spine,DC1_SPINE-4,Ethernet2,l3leaf,DC1_LEAF-1B,Ethernet4
spine,DC1_SPINE-4,Ethernet3,l3leaf,DC1_LEAF-2A,Ethernet4
spine,DC1_SPINE-4,Ethernet4,l3leaf,DC1_LEAF-2B,Ethernet4
spine,DC1_SPINE-4,Ethernet5,l3leaf,DC1_LEAF-3A,Ethernet4
spine,DC1_SPINE-4,Ethernet6,l3leaf,DC1_LEAF-3B,Ethernet4
